집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,단속일시_월,단속일시_연,단속일시_일,단속일시_요일,단속일시_시,단속일시_isdaytime,단속일시_season,latitude,longitude
2023,수원시,권선구청,2023-10-15 22:14:00,탑동 892,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2720387054387,126.974447524664
2023,수원시,권선구청,2023-10-15 22:15:00,탑동 843-1 교차로,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2710271277209,126.974967626724
2023,수원시,권선구청,2023-10-15 22:15:00,탑동 892,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2720387054387,126.974447524664
2023,수원시,권선구청,2023-10-15 22:15:00,권선동 1218 교차로모퉁이,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2510474885381,127.019315320156
2023,수원시,권선구청,2023-10-15 22:20:00,탑동 893,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2707476043025,126.972831298523
2023,수원시,권선구청,2023-10-15 22:20:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:21:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:21:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:23:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:23:00,탑동 893,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2707476043025,126.972831298523
2023,수원시,권선구청,2023-10-15 22:24:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:28:00,탑동 894 교차로,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:29:00,탑동 894,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2689070862831,126.975486608526
2023,수원시,권선구청,2023-10-15 22:34:00,탑동 892,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2720387054387,126.974447524664
2023,수원시,영통구청,2023-10-15 22:48:00,영통구 원천동 333-3,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.264595706467,127.062655989409
2023,수원시,권선구청,2023-10-15 22:50:00,권선동 225-42,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2347003898176,127.02271738125
2023,수원시,팔달구청,2023-10-15 22:50:00,인계동 인계동 1139 횡단보도,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.2644930623059,127.034925769861
2023,수원시,영통구청,2023-10-15 22:51:00,영통구 원천동 333-3,국민신문고,2023-12-01,10,2023,15,Sunday,22,night,fall,37.264595706467,127.062655989409
2023,수원시,장안구청,2023-10-15 23:03:00,정자동 정자동 864-3,국민신문고,2023-12-01,10,2023,15,Sunday,23,night,fall,37.2941203738047,127.007621945592
2023,수원시,권선구청,2023-10-15 23:21:00,호매실동 36-5,국민신문고,2023-12-01,10,2023,15,Sunday,23,night,fall,37.2696161511511,126.960327477839
